,3_text.txt
aanshi,-2.6642291925215447e-06
aansoo,-2.6642291925215447e-06
aansu,-2.9306521117736996e-05
aantrik,-2.6642291925215447e-06
aanu,-2.6642291925215447e-06
aanumati,-2.6642291925215447e-06
aao,-0.00012255454285599107
aaoge,-3.996343788782317e-05
aaokat,-2.6642291925215447e-06
aaow,-2.6642291925215447e-06
aap,-0.0028400683192279673
aapan,-5.3284583850430894e-06
aapas,-5.3284583850430894e-06
aapcheater,-2.6642291925215447e-06
aapda,-2.6642291925215447e-06
aapfundingscam,-5.3284583850430894e-06
aapians,-5.3284583850430894e-06
aapie,-2.6642291925215447e-06
aapilley,-2.6642291925215447e-06
aapiya,-2.6642291925215447e-06
aapiyo,-2.6642291925215447e-06
aapj,-2.6642291925215447e-06
aapji,-2.6642291925215447e-06
aapk,-7.992687577564635e-06
aapka,-0.00016784643912885733
aapkacm,-7.992687577564635e-06
aapkasaat,-2.6642291925215447e-06
aapke,-0.0002371163981344175
aapkey,-7.992687577564635e-06
aapki,-0.00018649604347650814
aapkia,-2.6642291925215447e-06
aapkidelhi,-5.3284583850430894e-06
aapkidilli,-0.00011456185527842643
aapkisarkar,-2.6642291925215447e-06
aapkishapath,-2.6642291925215447e-06
aapko,-0.00026908714844467603
aapkorecharge,-2.6642291925215447e-06
aaplog,-2.6642291925215447e-06
aapn,-5.3284583850430894e-06
aapna,-1.3321145962607725e-05
aapne,-0.00016784643912885733
aapnea,-2.6642291925215447e-06
aapney,-5.3284583850430894e-06
aapni,-2.6642291925215447e-06
aapnu,-2.6642291925215447e-06
aapocalypse,-2.6642291925215447e-06
aappsunami,-2.6642291925215447e-06
aapsabhi,-5.3284583850430894e-06
aapse,-0.00012788300124103415
aapsolute,-2.6642291925215447e-06
aapstorm,-0.00038897746210814557
aapsweep,-0.0008179183621041142
aapsweptdelhi,-2.6642291925215447e-06
aapsy,-2.6642291925215447e-06
aaptak,-2.6642291925215447e-06
aaptard,-2.6642291925215447e-06
aaptards,-1.8649604347650815e-05
aapthistime,-2.6642291925215447e-06
aaptho,-2.6642291925215447e-06
aaptsunami,-2.6642291925215447e-06
aapwinsdelhi,-2.6642291925215447e-06
aara,-1.8649604347650815e-05
aaraha,-2.6642291925215447e-06
aarahe,-7.992687577564635e-06
aarakshit,-2.6642291925215447e-06
aaram,-2.664229192521545e-05
aaray,-2.6642291925215447e-06
aarha,-2.6642291925215447e-06
aarhe,-2.6642291925215447e-06
aari,-2.6642291925215447e-06
aaron,-2.6642291925215447e-06
aarop,-7.992687577564635e-06
aaropi,-2.6642291925215447e-06
aaroplgaa,-2.6642291925215447e-06
aaropo,-2.6642291925215447e-06
aarthik,-2.6642291925215447e-06
aarti,-2.6642291925215447e-06
aarzoo,-5.3284583850430894e-06
aas,-1.8649604347650815e-05
aasa,-2.6642291925215447e-06
aasaan,-5.3284583850430894e-06
aasaani,-2.6642291925215447e-06
aasaiya,-2.6642291925215447e-06
aasam,-2.6642291925215447e-06
aasamiyoun,-2.6642291925215447e-06
aasan,-1.3321145962607725e-05
aase,-2.6642291925215447e-06
aasg,-2.6642291925215447e-06
aasha,-2.6642291925215447e-06
aashiq,-2.6642291925215447e-06
aashiqui,-2.6642291925215447e-06
aasi,-2.6642291925215447e-06
aasmaan,-2.6642291925215447e-06
aaspas,-2.6642291925215447e-06
aasra,-1.8649604347650815e-05
aasraaa,-2.6642291925215447e-06
aasteliya,-5.3284583850430894e-06
aasu,-7.992687577564635e-06
aasuo,-2.6642291925215447e-06
aat,-2.6642291925215447e-06
aata,-0.00021580256459424513
aatam,-2.6642291925215447e-06
aatankbadi,-5.3284583850430894e-06
aate,-0.00016251798074381422
aath,-2.6642291925215447e-06
aathe,-2.6642291925215447e-06
aati,-0.00010390493850834026
aatm,-2.6642291925215447e-06
aatma,-1.0656916770086179e-05
aatnki,-2.6642291925215447e-06
aaty,-2.6642291925215447e-06
aatyachaar,-2.6642291925215447e-06
aau,-5.3284583850430894e-06
aauga,-2.6642291925215447e-06
aaulade,-2.6642291925215447e-06
aaunga,-1.0656916770086179e-05
aaungi,-2.6642291925215447e-06
aavantan,-2.6642291925215447e-06
aavo,-2.6642291925215447e-06
aavoge,-5.3284583850430894e-06
aawaj,-7.992687577564635e-06
aawaz,-7.992687577564635e-06
aawunga,-2.6642291925215447e-06
aaya,-0.0002424448565194606
aayaa,-2.6642291925215447e-06
aayas,-2.6642291925215447e-06
aaye,-0.00017051066832137886
aayee,-5.3284583850430894e-06
aayeg,-2.6642291925215447e-06
aayega,-0.00011722608447094798
aayege,-2.6642291925215447e-06
aayegi,-3.729920869530163e-05
aayegye,-2.6642291925215447e-06
aayeh,-2.6642291925215447e-06
aayenga,-2.6642291925215447e-06
aayenge,-4.529189627286626e-05
aayengey,-5.3284583850430894e-06
aayengi,-2.6642291925215447e-06
aayesha,-2.6642291925215447e-06
aayeye,-2.6642291925215447e-06
aayga,-2.6642291925215447e-06
aayi,-7.72626465831248e-05
aayien,-2.6642291925215447e-06
aaynge,-2.6642291925215447e-06
aayog,-2.6642291925215447e-06
aayoge,-2.6642291925215447e-06
aayyiiii,-2.6642291925215447e-06
aaz,-2.6642291925215447e-06
aazaadiii,-2.6642291925215447e-06
aazadi,-2.6642291925215447e-06
ab,-0.0015559098484325823
aba,-2.6642291925215447e-06
abaadi,-2.6642291925215447e-06
abad,-5.3284583850430894e-06
abaki,-2.6642291925215447e-06
abandon,-2.6642291925215447e-06
abandoned,-2.6642291925215447e-06
abang,-2.6642291925215447e-06
abastillas,-2.6642291925215447e-06
abay,-5.3284583850430894e-06
abb,-3.463497950278008e-05
abba,-1.0656916770086179e-05
abbas,-2.6642291925215447e-06
abbe,-4.2627667080344715e-05
abbi,-2.6642291925215447e-06
abbott,-2.6642291925215447e-06
abbreviation,-2.6642291925215447e-06
abbu,-2.6642291925215447e-06
abc,-5.3284583850430894e-06
abd,-1.598537515512927e-05
abdication,-2.6642291925215447e-06
abdul,-7.992687577564635e-06
abe,-0.00025043754409702525
aberdeen,-2.6642291925215447e-06
abey,-3.463497950278008e-05
abh,-1.0656916770086179e-05
abha,-2.6642291925215447e-06
abhari,-2.6642291925215447e-06
abhe,-5.3284583850430894e-06
abhi,-0.000626093860242563
abhiii,-2.6642291925215447e-06
abhijeet,-2.6642291925215447e-06
abhijit,-2.6642291925215447e-06
abhinav,-2.6642291925215447e-06
abhishek,-1.0656916770086179e-05
abhisheksheel,-2.6642291925215447e-06
abhiyaan,-2.6642291925215447e-06
abhiyan,-1.3321145962607725e-05
abhutpurva,-2.6642291925215447e-06
abhyn,-2.6642291925215447e-06
abi,-0.00013853991801112032
abibi,-2.6642291925215447e-06
abigayle,-2.6642291925215447e-06
abilities,-5.3284583850430894e-06
ability,-5.3284583850430894e-06
abisaap,-5.3284583850430894e-06
abishek,-2.6642291925215447e-06
abitabh,-2.6642291925215447e-06
abitna,-2.6642291925215447e-06
abke,-1.0656916770086179e-05
abki,-6.926995900556016e-05
abkibaarbedisarkaar,-1.0656916770086179e-05
abkibaarmahilacm,-2.6642291925215447e-06
abkibarbedisarkar,-2.6642291925215447e-06
abl,-2.6642291925215447e-06
able,-6.127727142799553e-05
abled,-2.6642291925215447e-06
ableg,-2.6642291925215447e-06
aboard,-5.3284583850430894e-06
aboud,-2.6642291925215447e-06
about,-0.0006314223186276062
aboutg,-2.6642291925215447e-06
abouthim,-2.6642291925215447e-06
abouut,-2.6642291925215447e-06
above,-3.729920869530163e-05
abp,-2.664229192521545e-05
abravrrkwh,-2.6642291925215447e-06
abroad,-2.6642291925215447e-06
abrocks,-2.6642291925215447e-06
abs,-5.3284583850430894e-06
absconding,-2.6642291925215447e-06
abse,-1.0656916770086179e-05
absence,-7.992687577564635e-06
absent,-5.3284583850430894e-06
absolute,-5.3284583850430894e-06
absolutely,-1.8649604347650815e-05
abt,-6.926995900556016e-05
abtak,-2.6642291925215447e-06
abto,-5.3284583850430894e-06
abu,-7.992687577564635e-06
abuse,-1.598537515512927e-05
abused,-5.3284583850430894e-06
abusing,-1.0656916770086179e-05
abusive,-5.3284583850430894e-06
abve,-2.6642291925215447e-06
abvi,-2.6642291925215447e-06
abvp,-2.1313833540172358e-05
aby,-1.3321145962607725e-05
ac,-2.1313833540172358e-05
aca,-2.6642291925215447e-06
academia,-2.6642291925215447e-06
academic,-2.6642291925215447e-06
academy,-2.6642291925215447e-06
acc,-1.3321145962607725e-05
accche,-2.6642291925215447e-06
acceleration,-2.6642291925215447e-06
accelerator,-2.6642291925215447e-06
accents,-2.6642291925215447e-06
accept,-2.1313833540172358e-05
acceptable,-2.6642291925215447e-06
accepted,-1.0656916770086179e-05
acceptg,-2.6642291925215447e-06
accesories,-2.6642291925215447e-06
access,-5.3284583850430894e-06
accha,-0.00014120414720364188
acche,-3.197075031025854e-05
acchedin,-2.6642291925215447e-06
acchee,-2.6642291925215447e-06
acchey,-2.6642291925215447e-06
acchha,-2.6642291925215447e-06
acchi,-5.861304223547399e-05
accho,-2.6642291925215447e-06
accident,-2.6642291925215447e-06
accidentally,-2.6642291925215447e-06
accoeding,-2.6642291925215447e-06
accolades,-2.6642291925215447e-06
accommodation,-2.6642291925215447e-06
accompanied,-2.6642291925215447e-06
accomplished,-5.3284583850430894e-06
accont,-2.6642291925215447e-06
accord,-5.3284583850430894e-06
according,-3.463497950278008e-05
account,-5.32845838504309e-05
accounting,-2.6642291925215447e-06
accounts,-2.6642291925215447e-06
accout,-2.6642291925215447e-06
accpt,-2.6642291925215447e-06
accredated,-2.6642291925215447e-06
acct,-2.6642291925215447e-06
accurate,-2.6642291925215447e-06
accused,-2.6642291925215447e-06
ace,-2.6642291925215447e-06
acept,-5.3284583850430894e-06
aceptable,-2.6642291925215447e-06
ach,-5.3284583850430894e-06
acha,-0.0005168604633491797
achaa,-2.6642291925215447e-06
achaanak,-5.3284583850430894e-06
achai,-2.6642291925215447e-06
achanak,-1.0656916770086179e-05
achcha,-3.996343788782317e-05
achche,-1.0656916770086179e-05
achchedin,-2.6642291925215447e-06
achchha,-7.992687577564635e-06
achchhakarya,-2.6642291925215447e-06
achchhe,-1.3321145962607725e-05
achchi,-1.3321145962607725e-05
ache,-0.00011989031366346951
achedinaagayehai,-2.6642291925215447e-06
acheedin,-2.6642291925215447e-06
achha,-6.926995900556016e-05
achhaee,-2.6642291925215447e-06
achhe,-2.1313833540172358e-05
achhey,-2.6642291925215447e-06
achhi,-4.2627667080344715e-05
achi,-9.857648012329716e-05
achieve,-7.992687577564635e-06
achievement,-7.992687577564635e-06
achievements,-2.6642291925215447e-06
achii,-2.6642291925215447e-06
acho,-5.3284583850430894e-06
achondroplasia,-2.6642291925215447e-06
achya,-2.6642291925215447e-06
acid,-2.6642291925215447e-06
acidity,-2.6642291925215447e-06
acknowledged,-5.3284583850430894e-06
acm,-2.6642291925215447e-06
acne,-5.3284583850430894e-06
acorn,-2.6642291925215447e-06
acount,-5.3284583850430894e-06
acoustic,-2.6642291925215447e-06
acp,-2.6642291925215447e-06
acpt,-2.6642291925215447e-06
acquired,-5.3284583850430894e-06
acquisition,-5.3284583850430894e-06
acre,-2.6642291925215447e-06
across,-5.3284583850430894e-06
acsept,-2.6642291925215447e-06
act,-8.525533416068943e-05
acta,-2.664229192521545e-05
actar,-2.6642291925215447e-06
acter,-2.6642291925215447e-06
acters,-2.6642291925215447e-06
acting,-0.00016784643912885733
action,-7.19341881980817e-05
actions,-5.3284583850430894e-06
activate,-2.6642291925215447e-06
active,-3.463497950278008e-05
activist,-2.6642291925215447e-06
activists,-7.992687577564635e-06
activities,-2.6642291925215447e-06
actng,-2.6642291925215447e-06
actor,-7.459841739060326e-05
actors,-1.3321145962607725e-05
actres,-2.6642291925215447e-06
actress,-7.992687577564635e-06
acts,-1.8649604347650815e-05
actual,-1.3321145962607725e-05
actually,-9.324802173825407e-05
actualy,-2.6642291925215447e-06
actully,-1.3321145962607725e-05
ad,-3.197075031025854e-05
ada,-7.992687577564635e-06
adaa,-2.6642291925215447e-06
adaayein,-5.3284583850430894e-06
adab,-1.3321145962607725e-05
adal,-2.6642291925215447e-06
adalet,-2.6642291925215447e-06
adam,-2.1313833540172358e-05
adami,-7.992687577564635e-06
adams,-5.3284583850430894e-06
adani,-2.6642291925215447e-06
adapter,-2.6642291925215447e-06
adarsh,-2.6642291925215447e-06
adat,-2.6642291925215447e-06
adath,-2.6642291925215447e-06
add,-0.0001065691677008618
addd,-1.0656916770086179e-05
adddd,-2.6642291925215447e-06
added,-1.8649604347650815e-05
addha,-2.6642291925215447e-06
addicted,-7.992687577564635e-06
addiction,-2.6642291925215447e-06
adding,-2.6642291925215447e-06
additi,-2.6642291925215447e-06
additional,-5.3284583850430894e-06
addme,-2.6642291925215447e-06
addmission,-2.6642291925215447e-06
address,-1.3321145962607725e-05
addressed,-7.992687577564635e-06
addresses,-2.6642291925215447e-06
adelson,-2.6642291925215447e-06
adequate,-2.6642291925215447e-06
adha,-1.0656916770086179e-05
adhe,-1.598537515512927e-05
adhi,-2.6642291925215447e-06
adhigrahan,-5.3284583850430894e-06
adhik,-5.3284583850430894e-06
adhikar,-2.6642291925215447e-06
adhikario,-2.6642291925215447e-06
adhmi,-2.6642291925215447e-06
adhura,-5.3284583850430894e-06
adidas,-1.0656916770086179e-05
adigrahan,-2.6642291925215447e-06
adik,-2.6642291925215447e-06
adikar,-2.6642291925215447e-06
aditya,-2.6642291925215447e-06
adityanath,-2.6642291925215447e-06
adm,-2.6642291925215447e-06
adme,-2.6642291925215447e-06
admi,-5.062035465790935e-05
admin,-0.00035967094099040856
administration,-7.992687577564635e-06
admins,-1.598537515512927e-05
admire,-2.6642291925215447e-06
admisn,-5.3284583850430894e-06
admission,-7.72626465831248e-05
admissions,-5.3284583850430894e-06
admissn,-5.3284583850430894e-06
admit,-1.0656916770086179e-05
admitd,-2.6642291925215447e-06
admits,-2.6642291925215447e-06
admitted,-1.598537515512927e-05
admn,-2.6642291925215447e-06
admo,-2.6642291925215447e-06
adms,-2.6642291925215447e-06
admsn,-2.1313833540172358e-05
adnan,-7.992687577564635e-06
adne,-2.6642291925215447e-06
adope,-2.6642291925215447e-06
adorable,-5.3284583850430894e-06
adore,-2.6642291925215447e-06
adored,-2.6642291925215447e-06
adrak,-7.992687577564635e-06
adress,-5.3284583850430894e-06
ads,-1.598537515512927e-05
adt,-2.6642291925215447e-06
adult,-2.6642291925215447e-06
adulterous,-2.6642291925215447e-06
adults,-2.6642291925215447e-06
adv,-7.992687577564635e-06
advaance,-2.6642291925215447e-06
advanc,-2.6642291925215447e-06
advance,-5.062035465790935e-05
advanced,-7.992687577564635e-06
advanture,-2.6642291925215447e-06
advce,-2.6642291925215447e-06
advenced,-2.6642291925215447e-06
adventures,-2.6642291925215447e-06
advertise,-5.3284583850430894e-06
advertisement,-7.992687577564635e-06
advertises,-2.6642291925215447e-06
advertising,-2.6642291925215447e-06
advertisment,-2.6642291925215447e-06
advice,-2.1313833540172358e-05
advise,-5.3284583850430894e-06
advocate,-5.3284583850430894e-06
advocates,-2.6642291925215447e-06
advt,-2.6642291925215447e-06
ae,-3.729920869530163e-05
aega,-5.3284583850430894e-06
aege,-2.6642291925215447e-06
aegi,-2.6642291925215447e-06
aehsan,-2.6642291925215447e-06
aek,-1.598537515512927e-05
aenge,-2.6642291925215447e-06
aengi,-2.6642291925215447e-06
aerial,-2.6642291925215447e-06
aesa,-1.0656916770086179e-05
aese,-1.598537515512927e-05
aesi,-1.598537515512927e-05
aesop,-2.6642291925215447e-06
aey,-2.6642291925215447e-06
afar,-2.6642291925215447e-06
afc,-2.664229192521545e-05
affair,-5.3284583850430894e-06
affairs,-2.6642291925215447e-06
affairsg,-2.6642291925215447e-06
affected,-5.3284583850430894e-06
affecting,-7.992687577564635e-06
affection,-5.3284583850430894e-06
affectionate,-2.6642291925215447e-06
affidavit,-5.3284583850430894e-06
afford,-7.992687577564635e-06
afgvsco,-2.6642291925215447e-06
afiz,-2.6642291925215447e-06
afl,-2.6642291925215447e-06
afp,-2.6642291925215447e-06
afr,-2.6642291925215447e-06
afraid,-5.3284583850430894e-06
afreeka,-2.6642291925215447e-06
africa,-5.861304223547399e-05
african,-1.598537515512927e-05
africans,-7.992687577564635e-06
afridi,-1.3321145962607725e-05
afsos,-2.6642291925215447e-06
aftari,-2.6642291925215447e-06
after,-0.0004609116503062272
afterno,-2.6642291925215447e-06
afternoon,-1.3321145962607725e-05
afterwards,-2.6642291925215447e-06
afterwork,-2.6642291925215447e-06
aftr,-2.3978062732693904e-05
aftrall,-2.6642291925215447e-06
afva,-2.6642291925215447e-06
afwa,-2.6642291925215447e-06
afwah,-1.0656916770086179e-05
afwahe,-2.6642291925215447e-06
ag,-7.992687577564635e-06
aga,-2.6642291925215447e-06
agaar,-2.6642291925215447e-06
agae,-2.6642291925215447e-06
agah,-2.6642291925215447e-06
agai,-1.3321145962607725e-05
again,-0.00021580256459424513
against,-0.00024777331490450364
againt,-2.6642291925215447e-06
agakaari,-2.6642291925215447e-06
agar,-0.0005115320049641366
agarbatti,-2.6642291925215447e-06
agay,-5.3284583850430894e-06
agaya,-2.664229192521545e-05
agaye,-7.992687577564635e-06
agayeghaziabad,-2.6642291925215447e-06
agayi,-2.6642291925215447e-06
agdin,-2.6642291925215447e-06
age,-0.00011722608447094798
aged,-5.3284583850430894e-06
agee,-5.3284583850430894e-06
agencies,-5.3284583850430894e-06
agency,-7.992687577564635e-06
agenda,-1.598537515512927e-05
agendas,-7.992687577564635e-06
agent,-1.8649604347650815e-05
agento,-2.6642291925215447e-06
ager,-1.3321145962607725e-05
ages,-2.6642291925215447e-06
agese,-2.6642291925215447e-06
agesssss,-2.6642291925215447e-06
agey,-7.992687577564635e-06
aggarwal,-2.6642291925215447e-06
aggression,-5.3284583850430894e-06
aggressive,-5.3284583850430894e-06
aggrieved,-2.6642291925215447e-06
agia,-2.6642291925215447e-06
agin,-2.6642291925215447e-06
agitation,-2.6642291925215447e-06
agla,-7.992687577564635e-06
agle,-3.996343788782317e-05
agli,-1.8649604347650815e-05
agn,-5.3284583850430894e-06
agnst,-2.6642291925215447e-06
ago,-3.996343788782317e-05
agr,-0.00021846679378676668
agra,-2.6642291925215447e-06
agrawal,-2.6642291925215447e-06
agree,-7.72626465831248e-05
agreed,-1.0656916770086179e-05
agreeing,-2.6642291925215447e-06
agriculture,-2.6642291925215447e-06
agriculturesector,-2.6642291925215447e-06
agya,-7.992687577564635e-06
agyakaari,-2.6642291925215447e-06
agye,-1.0656916770086179e-05
agyei,-2.6642291925215447e-06
agyi,-1.0656916770086179e-05
ah,-1.598537515512927e-05
ahaa,-5.3284583850430894e-06
ahaaan,-2.6642291925215447e-06
ahaan,-2.6642291925215447e-06
ahah,-2.6642291925215447e-06
ahaha,-5.3284583850430894e-06
ahahahahahaha,-2.6642291925215447e-06
aham,-5.3284583850430894e-06
ahana,-2.6642291925215447e-06
ahankaar,-2.6642291925215447e-06
ahankar,-7.992687577564635e-06
ahead,-4.2627667080344715e-05
ahemdabad,-2.6642291925215447e-06
aheveafefv,-2.6642291925215447e-06
ahh,-5.3284583850430894e-06
ahhh,-5.3284583850430894e-06
ahhhhaaa,-2.6642291925215447e-06
ahhhhh,-2.6642291925215447e-06
ahhhhhh,-2.6642291925215447e-06
ahikhar,-2.6642291925215447e-06
ahly,-2.6642291925215447e-06
ahmadi,-2.6642291925215447e-06
ahmed,-5.3284583850430894e-06
ahmedabad,-1.8649604347650815e-05
aho,-5.3284583850430894e-06
ahoy,-5.3284583850430894e-06
ahoyie,-5.3284583850430894e-06
ahsas,-2.6642291925215447e-06
ahshano,-2.6642291925215447e-06
ahttp,-2.6642291925215447e-06
ahuja,-2.6642291925215447e-06
ai,-3.197075031025854e-05
aiadmk,-2.6642291925215447e-06
aib,-5.3284583850430894e-06
aibroast,-5.3284583850430894e-06
aicc,-2.6642291925215447e-06
aid,-2.6642291925215447e-06
aide,-2.6642291925215447e-06
aids,-2.6642291925215447e-06
aieeeeeeeee,-2.6642291925215447e-06
aig,-2.6642291925215447e-06
aight,-2.6642291925215447e-06
aiiiyeeeee,-2.6642291925215447e-06
aiim,-5.3284583850430894e-06
aik,-2.1313833540172358e-05
aillaa,-5.3284583850430894e-06
aim,-7.992687577564635e-06
aiming,-2.6642291925215447e-06
aimlessly,-5.3284583850430894e-06
aims,-2.6642291925215447e-06
ain,-1.8649604347650815e-05
ainge,-5.3284583850430894e-06
ainsworth,-2.6642291925215447e-06
aint,-1.0656916770086179e-05
aints,-2.6642291925215447e-06
ainvayi,-2.6642291925215447e-06
aio,-5.3284583850430894e-06
aip,-2.6642291925215447e-06
aipka,-5.3284583850430894e-06
aipko,-2.6642291925215447e-06
aipmt,-2.6642291925215447e-06
air,-5.32845838504309e-05
aircraft,-2.6642291925215447e-06
aired,-5.3284583850430894e-06
airing,-5.3284583850430894e-06
airport,-1.3321145962607725e-05
airportg,-2.6642291925215447e-06
airtime,-2.6642291925215447e-06
aisa,-0.0004502547335361411
aisay,-2.6642291925215447e-06
aise,-0.00044492627515109803
aisee,-2.6642291925215447e-06
aisehi,-2.6642291925215447e-06
aish,-5.3284583850430894e-06
aishwarya,-1.3321145962607725e-05
aisi,-0.00016518220993633578
aisii,-2.6642291925215447e-06
aisle,-2.6642291925215447e-06
